date;open;high;low;close;volume
2005-08-05;66.0;151.21;60.0;122.54;2.26811E7
2005-08-08;137.75;153.98;115.24;115.5;1.54889E7
2005-08-09;120.5;125.3;95.69;96.1;8667700.0
2005-08-10;101.0;103.5;88.3;91.75;4963800.0
2005-08-11;91.2;100.5;90.6;97.9;7324800.0
2005-08-12;98.0;99.75;94.58;95.0;2994900.0
2005-08-15;96.75;97.98;92.5;93.0;1929000.0
2005-08-16;93.89;95.61;90.8;91.51;1857900.0
2005-08-17;92.79;92.99;85.11;85.81;2016600.0
2005-08-18;88.15;88.36;81.65;82.48;2216600.0
2005-08-19;82.1;84.86;79.39;79.55;1818800.0
2005-08-22;79.0;80.33;72.13;72.69;2517100.0
2005-08-23;71.7;82.0;71.54;82.0;6657400.0
2005-08-24;77.53;85.0;75.0;77.8;8765100.0
2005-08-25;79.67;81.4;78.02;79.0;2696500.0
2005-08-26;79.15;81.85;78.31;78.88;2468300.0
2005-08-29;78.8;80.64;77.62;78.6;1339200.0
2005-08-30;81.42;84.17;80.62;81.0;3813200.0
2005-08-31;81.8;82.65;80.5;81.0;1088400.0
2005-09-01;81.2;81.95;78.51;78.92;1067300.0
2005-09-02;80.08;80.2;76.5;78.02;731300.0
2005-09-06;78.98;79.37;77.01;77.8;712200.0
2005-09-07;78.3;83.7;77.3;82.58;4039400.0
2005-09-08;82.0;84.5;81.57;83.54;2508100.0
2005-09-09;84.0;97.85;83.48;96.3;5902200.0
2005-09-12;100.34;115.28;99.8;112.25;1.81774E7
2005-09-13;113.89;122.5;108.51;113.59;1.61185E7
2005-09-14;87.22;94.21;80.99;81.32;1.66607E7
2005-09-15;83.6;86.94;80.01;82.0;7783300.0
2005-09-16;82.9;84.27;77.68;78.35;4988600.0
2005-09-19;78.04;82.94;77.73;79.53;3886000.0
2005-09-20;80.77;82.96;79.55;80.5;2351100.0
2005-09-21;79.6;81.12;78.59;80.3;2052000.0
2005-09-22;80.52;82.25;78.97;79.19;1857900.0
2005-09-23;79.94;80.29;78.79;79.15;971300.0
2005-09-26;80.8;80.89;76.14;77.28;2042000.0
2005-09-27;77.25;78.19;71.73;72.5;3183100.0
2005-09-28;72.62;73.0;65.12;65.71;4797800.0
2005-09-29;65.9;68.98;63.76;65.0;3179500.0
2005-09-30;65.0;66.25;63.35;64.02;1528400.0
2005-10-03;64.44;66.98;63.8;66.11;2034600.0
2005-10-04;68.5;73.25;68.12;70.39;3900300.0
2005-10-05;73.33;74.37;68.18;68.3;3191900.0
2005-10-06;70.01;70.08;66.8;68.26;1172600.0
2005-10-07;69.0;69.5;66.59;67.2;924100.0
2005-10-10;67.7;67.7;64.48;65.45;810800.0
2005-10-11;65.77;66.29;64.29;65.25;687600.0
2005-10-12;65.44;65.79;63.1;63.6;836300.0
2005-10-13;63.45;63.74;60.08;62.22;881800.0
